,Unnamed: 0,PolicyName,Premium,SumInsured
0,0,Health QuBE Basic,12175,1000-50000
1,1,Health QuBE SuperSaver,10061,1000-50000
2,2,Health QuBE Comprehensive,12175,1000-50000
3,3,Lifeline Classic,5376,1000-50000
4,4,Lifeline Elite,70411,50000-100000
5,5,Lifeline Supreme,14557,1000-50000
6,6,Kotak Health Care – Excel (Including Optional Pack 1),5693,1000-50000
7,7,Kotak Health Care – Premium (Including Optional Pack 1),11290,1000-50000
8,8,Individual Mediclaim Policy,12080,1000-50000
9,9,Edelweiss Health Insurance- Silver (Health 241 Add-on),5456,1000-50000
10,10,Edelweiss Health Insurance- Gold (Health 241 Add-on),11651,1000-50000
11,11,Edelweiss Health Insurance- Platinum (Health 241 Add-on),20133,1000-50000
12,12,Edelweiss Health Insurance Silver,4365,1000-50000
13,13,Edelweiss Health Insurance Gold,9321,1000-50000
14,14,Edelweiss Health Insurance Platinum,16106,1000-50000
15,15,Health Gain,9118,1000-50000
16,16,Medicare,9820,1000-50000
17,17,Medicare protect,6347,1000-50000
18,18,Medicare Premier,12176,1000-50000
19,19,Option 1 - Maxima Restore Super,21314,1000-50000
20,20,Option 2 - Early Cover,18573,1000-50000
21,21,Option 3 – Super Care,17542,1000-50000
22,22,Individual Health Protector,12295,1000-50000
23,23,Health Companion with Recharge (Money Saver),9006,1000-50000
24,24,Health Pulse Enhanced,13197,1000-50000
25,25,Health Companion with Health Recharge (Double Dhamaka),10118,1000-50000
26,26,Health Companion,20412,1000-50000
27,27,Go Active,15086,1000-50000
28,28,ProHealth - Protect,12176,1000-50000
29,29,ProHealth - Plus,18582,1000-50000
30,30,ProHealth - Preferred,39478,1000-50000
31,31,ProHealth - Premier,53434,50000-100000
32,32,Health Total Vital,10031,1000-50000
33,33,NCB Super Premium,40608,1000-50000
34,34,Care,37775,1000-50000
35,35,Joy Today,70894,50000-100000
36,36,Care Freedom,6236,1000-50000
37,37,Joy Tomorrow,24513,1000-50000
38,38,Care with Unlimited Recharge,39663,1000-50000
39,39,NCB Super premium with UAR,42497,1000-50000
40,40,Care Global (Global Coverage),121069,100000-150000
41,41,Care Freedom with Health-Checkup,11546,1000-50000
42,42,Care Heart,13519,1000-50000
43,43,Care Global with Global Coverage including USA,174752,150000-200000
44,44,Optima Restore,21611,1000-50000
45,45,Easy Health Individual Standard,11523,1000-50000
46,46,Easy Health Individual Exclusive,21095,1000-50000
47,47,Easy Health Individual Premium,23894,1000-50000
48,48,Health Wallet,49801,1000-50000
49,49,Energy Silver with Co-pay,22819,1000-50000
50,50,Energy Silver,28505,1000-50000
51,51,Energy Gold,34405,1000-50000
52,52,Energy Gold with Co-pay,28719,1000-50000
53,53,Complete Healthcare Insurance Privilege,12241,1000-50000
54,54,Complete Healthcare Insurance Essential,6393,1000-50000
55,55,Complete Healthcare Insurance Basic,2557,1000-50000
56,56,1 Cr Sum Insured **,9552,1000-50000
57,57,Activ Assure - Diamond,26664,1000-50000
58,58,Activ Health Enhance,40365,1000-50000
59,59,Activ Health Enhance (Diabetes),98180,50000-100000
60,60,Activ Health Enhance (Asthma),51489,50000-100000
61,61,Activ Health Enhance (Hypertension),98350,50000-100000
62,62,Activ Assure – Diamond with Super NCB,28530,1000-50000
63,63,Activ Assure – Diamond with Unlimited Reload,27731,1000-50000
64,64,Activ Assure – Diamond with Super NCB and Unlimited Reload,29597,1000-50000
65,65,Medi Classic,11594,1000-50000
66,66,Diabetes Safe Plan-B,19122,1000-50000
67,67,Star Comprehensive,23016,1000-50000
68,68,Diabetes Safe Plan-A,15057,1000-50000
69,69,Cancer Care,32214,1000-50000
70,70,Elite Combo,11478,1000-50000
71,71,Elite,14107,1000-50000
72,72,Basic,9579,1000-50000
73,73,Supreme,14788,1000-50000
74,74,E Connect,7776,1000-50000
75,75,Individual Health Guard,21857,1000-50000
76,76,Health Ensure,7642,1000-50000
77,77,Click 2 protect health,28703,1000-50000
78,78,My:health Suraksha Platinum Smart,36102,1000-50000
